Vendor,Products
Vendor 1,Delivery Fee
Vendor 1,Bakery Tools 
Vendor 3,Pet Grooming Services 
Vendor 4,Delivery Charges
Vendor 5,Fishing Gear 
Vendor 7,Cloud Software 
Vendor 9,Delivery Fee
Vendor 9,Catering Services 
Vendor 1,Hire of Scaffolding
Vendor 1,Hire of Ladders & Steps
Vendor 1,Hire of Site Fencing
Vendor 1,Hire of Scaffolding
Vendor 1,Hire of Ladders & Steps
Vendor 1,Hire of Site Fencing
Vendor 1,Hire of Scaffolding
Vendor 1,Hire of Ladders & Steps
Vendor 1,Hire of Site Fencing
Vendor 2,Supply of Electrical Cables
Vendor 2,Supply of Lighting Fixtures
Vendor 2,"Electrical Equipment - Supply, Install, Maintain"
Vendor 2,Transportation Charges
Vendor 2,Supply of Electrical Cables
Vendor 2,Supply of Lighting Fixtures
Vendor 2,"Electrical Equipment - Supply, Install, Maintain"
Vendor 2,Transportation Charges
Vendor 2,Supply of Electrical Cables
Vendor 2,Supply of Lighting Fixtures
Vendor 2,"Electrical Equipment - Supply, Install, Maintain"
Vendor 2,Transportation Charges
Vendor 2,Supply of Electrical Cables
Vendor 2,Supply of Lighting Fixtures
Vendor 2,"Electrical Equipment - Supply, Install, Maintain"
Vendor 2,Transportation Charges
Vendor 2,Supply of Electrical Cables
Vendor 2,Supply of Lighting Fixtures
Vendor 2,"Electrical Equipment - Supply, Install, Maintain"
Vendor 2,Transportation Charges
Vendor 3,Rental of Generators
Vendor 3,Rental of Pumps
Vendor 3,Rental of Compressors
Vendor 3,Fuel Charges
Vendor 3,Rental of Generators
Vendor 3,Rental of Pumps
Vendor 3,Rental of Compressors
Vendor 3,Fuel Charges
Vendor 3,Rental of Generators
Vendor 3,Rental of Pumps
Vendor 3,Rental of Compressors
Vendor 3,Fuel Charges
Vendor 3,Rental of Generators
Vendor 3,Rental of Pumps
Vendor 3,Rental of Compressors
Vendor 3,Fuel Charges
Vendor 3,Rental of Generators
Vendor 3,Rental of Pumps
Vendor 3,Rental of Compressors
Vendor 3,Fuel Charges
Vendor 3,Rental of Generators
Vendor 3,Rental of Pumps
Vendor 3,Rental of Compressors
Vendor 3,Fuel Charges
Vendor 4,Construction of Buildings
Vendor 4,Onsite Civil Works
Vendor 4,Hire of Cranes
Vendor 4,Hire of Operated Plant
Vendor 4,Installation of Flooring
Vendor 4,Construction of Buildings
Vendor 4,Onsite Civil Works
Vendor 4,Hire of Cranes
Vendor 4,Hire of Operated Plant
Vendor 4,Installation of Flooring
Vendor 4,Construction of Buildings
Vendor 4,Onsite Civil Works
Vendor 4,Hire of Cranes
Vendor 4,Hire of Operated Plant
Vendor 4,Installation of Flooring
Vendor 4,Construction of Buildings
Vendor 4,Onsite Civil Works
Vendor 4,Hire of Cranes
Vendor 4,Hire of Operated Plant
Vendor 4,Installation of Flooring
Vendor 4,Construction of Buildings
Vendor 4,Onsite Civil Works
Vendor 4,Hire of Cranes
Vendor 4,Hire of Operated Plant
Vendor 4,Installation of Flooring
Vendor 5,Supply of Office Furniture
Vendor 5,Supply of Office Equipment
Vendor 5,Office Supplies
Vendor 5, Janitorial Services
Vendor 5,Supply of Office Furniture
Vendor 5,Supply of Office Equipment
Vendor 5,Office Supplies
Vendor 5, Janitorial Services
Vendor 5,Supply of Office Furniture
Vendor 5,Supply of Office Equipment
Vendor 5,Office Supplies
Vendor 5, Janitorial Services
Vendor 5,Supply of Office Furniture
Vendor 5,Supply of Office Equipment
Vendor 5,Office Supplies
